id,name,collection,country,prefecture,priority,score,unknown_dimensions,reasons,recommended_action,current_facets
jp-076,サンマーメン,japan_local_ramen,日本,神奈川県,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-079,小田原系ラーメン,japan_local_ramen,日本,神奈川県,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-089,三条っ子ラーメン,japan_local_ramen,日本,新潟県,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-090,見附へそラーメン,japan_local_ramen,日本,新潟県,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-091,上越とん汁ラーメン,japan_local_ramen,日本,新潟県,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-101,UFOラーメン,japan_local_ramen,日本,石川県,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-103,敦賀ラーメン,japan_local_ramen,日本,福井県,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-106,甲州地どりラーメン,japan_local_ramen,日本,山梨県,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-108,安養寺ラーメン,japan_local_ramen,日本,長野県,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-113,神岡ラーメン,japan_local_ramen,日本,岐阜県,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
